method,source_cents,condition,nuisance_seed,waveform_sha256,repeat,position,elapsed_ms,encoder_source_sha256,python,numpy
legacy-point,6857,clean,17,993faa1b3cc97c16ce7545805034b7a64880fad67864c99d36aebf8d566e02bb,4,1,9.293889,c295d1ed726ec71010d2a9f66ee441fed92b49ce986eb3fb21cf69e2dfafc23b,3.12.3,2.5.1
cell-max,6857,clean,17,993faa1b3cc97c16ce7545805034b7a64880fad67864c99d36aebf8d566e02bb,4,2,10.592204,c295d1ed726ec71010d2a9f66ee441fed92b49ce986eb3fb21cf69e2dfafc23b,3.12.3,2.5.1
quadratic-fft,6857,noise-10db,17,499caf974f31e0d58e3e5deff5783d377823b4858ec18111335d17355ae4c24c,0,0,8.712746,c295d1ed726ec71010d2a9f66ee441fed92b49ce986eb3fb21cf69e2dfafc23b,3.12.3,2.5.1
legacy-point,6857,noise-10db,17,499caf974f31e0d58e3e5deff5783d377823b4858ec18111335d17355ae4c24c,0,1,7.027736,c295d1ed726ec71010d2a9f66ee441fed92b49ce986eb3fb21cf69e2dfafc23b,3.12.3,2.5.1
cell-max,6857,noise-10db,17,499caf974f31e0d58e3e5deff5783d377823b4858ec18111335d17355ae4c24c,0,2,10.487762,c295d1ed726ec71010d2a9f66ee441fed92b49ce986eb3fb21cf69e2dfafc23b,3.12.3,2.5.1
legacy-point,6857,noise-10db,17,499caf974f31e0d58e3e5deff5783d377823b4858ec18111335d17355ae4c24c,1,0,7.722875,c295d1ed726ec71010d2a9f66ee441fed92b49ce986eb3fb21cf69e2dfafc23b,3.12.3,2.5.1
cell-max,6857,noise-10db,17,499caf974f31e0d58e3e5deff5783d377823b4858ec18111335d17355ae4c24c,1,1,10.38336,c295d1ed726ec71010d2a9f66ee441fed92b49ce986eb3fb21cf69e2dfafc23b,3.12.3,2.5.1
quadratic-fft,6857,noise-10db,17,499caf974f31e0d58e3e5deff5783d377823b4858ec18111335d17355ae4c24c,1,2,8.263885,c295d1ed726ec71010d2a9f66ee441fed92b49ce986eb3fb21cf69e2dfafc23b,3.12.3,2.5.1
cell-max,6857,noise-10db,17,499caf974f31e0d58e3e5deff5783d377823b4858ec18111335d17355ae4c24c,2,0,10.747217,c295d1ed726ec71010d2a9f66ee441fed92b49ce986eb3fb21cf69e2dfafc23b,3.12.3,2.5.1
quadratic-fft,6857,noise-10db,17,499caf974f31e0d58e3e5deff5783d377823b4858ec18111335d17355ae4c24c,2,1,11.069871,c295d1ed726ec71010d2a9f66ee441fed92b49ce986eb3fb21cf69e2dfafc23b,3.12.3,2.5.1
